fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
0.46,0.54,2.49E+03,21.57720971,0.04710925,66.72301836,0.043190722,-22.00656924,0.041655946,-56.75942014,0.008141893,33.59698354,0.007795417,-10.38740733,0.007652111,-28.57981729,0.000173739,131.9106876,0.000146016,-48.7030239,0.000136268,-112.2156833,-0.765370912,0.945975827,0.651284083,5.13695274,-6.890542348,-4.372785027,21.64684564
0.45,0.55,2.54E+03,21.56766439,0.047195454,68.67498143,0.043269755,-20.21696966,0.041684764,-56.10687638,0.008149511,34.5641646,0.007802711,-9.461384354,0.0076548,-28.2384167,0.00017435,135.8873487,0.000146529,-45.3609001,0.000136451,-111.0218479,-0.803450836,0.950355021,0.656624635,5.404883964,-6.948657748,-4.418782754,21.65481457
0.44,0.56,2.58E+03,21.55790455,0.047283758,70.67450569,0.043350714,-18.38376502,0.041713991,-55.44506741,0.008157309,35.55401765,0.007810177,-8.513654185,0.007657526,-27.89236823,0.000174976,139.9678261,0.000147056,-41.93152541,0.000136637,-109.809737,-0.843352778,0.953984799,0.66184148,5.686265336,-7.002371871,-4.464108879,21.6626399
0.43,0.57,2.63E+03,21.54792033,0.047374263,72.72387126,0.043433691,-16.50486484,0.041743641,-54.7736846,0.008165293,36.56760792,0.007817821,-7.543196929,0.00766029,-27.54152045,0.000175619,144.1572841,0.000147596,-38.41055976,0.000136826,-108.5787167,-0.88518578,0.956808465,0.666927118,5.981928667,-7.051316556,-4.508715908,21.67032673
0.42,0.58,2.68E+03,21.53770117,0.047467078,74.82552387,0.043518786,-14.57802684,0.041773728,-54.09240227,0.008173473,37.60607694,0.007825654,-6.548919629,0.007663093,-27.18571366,0.00017628,148.4612712,0.000148151,-34.79333981,0.000137018,-107.328117,-0.929067856,0.958764195,0.671873509,6.292775814,-7.095088806,-4.552552737,21.67787987
0.41,0.59,2.72E+03,21.52723573,0.047562317,76.98209116,0.043606103,-12.60084194,0.041804268,-53.40087626,0.008181859,38.67064999,0.007833683,-5.529649142,0.007665936,-26.82477925,0.000176959,152.8857595,0.000148722,-31.07484643,0.000137213,-106.0572292,-0.975126956,0.959784459,0.676672025,6.619786325,-7.133246732,-4.595564303,21.68530389
0.4,0.6,2.77E+03,21.51651187,0.047660107,79.19640105,0.043695759,-10.57071745,0.041835276,-52.69874251,0.008190461,39.76264448,0.007841919,-4.484124132,0.007668821,-26.458539,0.000177657,157.4371881,0.000149309,-27.24966807,0.000137411,-104.765302,-1.023502062,0.959795355,0.681313391,6.964026124,-7.16530492,-4.637691199,21.69260313
0.39,0.61,2.82E+03,21.50551648,0.047760581,81.47150248,0.043787876,-8.484858037,0.04186677,-51.98561534,0.00819929,40.88347935,0.007850372,-3.410986031,0.007671749,-26.08680428,0.000178376,162.1225121,0.000149914,-23.3119594,0.000137613,-103.4515384,-1.074344424,0.958715858,0.685787624,7.326657397,-7.190729128,-4.67886923,21.69978171
0.38,0.62,2.86E+03,21.49423547,0.047863886,83.81068885,0.043882587,-6.340244241,0.041898767,-51.26108564,0.008208358,42.03468578,0.007859054,-2.308768829,0.007674722,-25.70937514,0.000179117,166.9492587,0.000150536,-19.25539425,0.000137818,-102.1150916,-1.127818978,0.956456956,0.690083963,7.708949899,-7.208930191,-4.719028928,21.70684357
0.37,0.63,2.91E+03,21.4826536,0.047970178,86.2175247,0.043980038,-4.133608013,0.041931287,-50.5247188,0.008217679,43.21791926,0.007867978,-1.175887475,0.007677742,-25.3260394,0.000179881,171.9255909,0.000151178,-15.07311222,0.000138027,-100.7550607,-1.184105966,0.952920652,0.694190786,8.112293915,-7.219257,-4.758094991,21.71379243
0.36,0.64,2.95E+03,21.47075438,0.048079629,88.69587611,0.044080385,-1.861404871,0.04196435,-49.77605244,0.008227266,44.4349734,0.007877157,-0.010624685,0.00768081,-24.93657148,0.000180669,177.0603798,0.000151841,-10.75765763,0.000138239,-99.37048529,-1.243402798,0.947998824,0.698095525,8.538215164,-7.220988379,-4.795985659,21.72063185
0.35,0.65,3.00E+03,21.45851992,0.048192423,91.24994536,0.044183797,0.480217939,0.041997978,-49.01459379,0.008237135,45.68779567,0.007886606,1.188884131,0.007683928,-24.54073124,0.000181483,182.3632882,0.000152525,-6.300909576,0.000138456,-97.9603402,-1.305926195,0.941571892,0.701784561,8.988392017,-7.213323661,-4.832611992,21.72736523
